,Country,Price level in points (Zurich = 100 points)
0,Oslo,103.0
1,Zurich,100.0
2,Geneva,98.5
3,Copenhagen,87.7
4,Stockholm,87.0
5,Tokyo,83.4
6,Sydney,79.8
7,Helsinki,76.7
8,Toronto,76.2
9,Singapore,75.9
10,Vienna,75.6
11,Paris,74.8
12,Luxembourg,74.1
13,New York,74.1
14,London,73.9
15,Munich,73.8
16,Montreal,73.6
17,Frankfurt,72.6
18,Sao Paulo,71.5
19,Dublin,70.9
20,Brussels,69.1
21,Rome,68.7
22,Lyon,68.3
23,Auckland,67.9
24,Barcelona,67.3
25,Rio de Janeiro,67.3
26,Dubai,66.4
27,Istanbul,66.3
28,Amsterdam,65.3
29,Madrid,65.3
30,Los Angeles,65.3
31,Tel Aviv,64.9
32,Berlin,64.8
33,Milan,62.6
34,Seoul,62.6
35,Chicago,61.0
36,Hongkong,60.9
37,Athen,59.3
38,Lisbon,59.2
39,Nikosia,59.1
