,Month,Sales in billion U.S. dollars
0,Jan '20,35.39
1,Dec '19,36.17
2,Nov '19,36.72
3,Oct '19,36.75
4,Sep '19,35.57
5,Aug '19,34.4
6,Jul '19,33.47
7,Jun '19,32.86
8,May '19,33.04
9,Apr '19,32.44
10,Mar '19,32.62
11,Feb '19,32.87
12,Jan '19,35.48
13,Dec '18,38.22
14,Nov '18,41.11
15,Oct '18,42.11
16,Sep '18,41.62
17,Aug '18,40.66
18,Jul '18,39.5
19,Jun '18,39.31
20,May '18,38.72
21,Apr '18,37.61
22,Mar '18,37.1
23,Feb '18,36.77
24,Jan '18,37.6
25,Dec '17,37.99
26,Nov '17,37.69
27,Oct '17,37.09
28,Sep '17,35.95
29,Aug '17,34.96
30,Jul '17,33.65
31,Jun '17,32.64
32,May '17,31.93
33,Apr '17,31.35
34,Mar '17,30.89
35,Feb '17,30.39
36,Jan '17,30.64
37,Dec '16,31.01
38,Nov '16,31.02
39,Oct '16,30.43
40,Sep '16,29.43
41,Aug '16,28.24
42,Jul '16,27.08
43,Jun '16,26.41
44,May '16,26.07
45,Apr '16,25.85
46,Mar '16,26.11
47,Feb '16,26.02
48,Jan '16,26.88
49,Dec '15,27.62
50,Nov '15,28.88
51,Oct '15,28.97
52,Sep '15,28.41
53,Aug '15,27.88
54,Jul '15,27.86
55,Jun '15,27.99
56,May '15,28.11
57,Apr '15,27.61
58,Mar '15,27.72
59,Feb '15,27.74
60,Jan '15,28.55
61,Dec '14,29.13
62,Nov '14,29.77
63,Oct '14,29.68
64,Sep '14,29.23
65,Aug '14,28.46
66,Jul '14,28.07
67,Jun '14,27.4
68,May '14,26.86
69,Apr '14,26.34
70,Mar '14,26.16
71,Feb '14,26.04
72,Jan '14,26.26
73,Dec '13,26.65
74,Nov '13,27.19
75,Oct '13,27.09
76,Sep '13,26.85
77,Aug '13,26.1
78,Jul '13,25.53
79,Jun '13,24.88
80,May '13,24.69
81,Apr '13,23.62
82,Mar '13,23.48
83,Feb '13,23.23
84,Jan '13,24.17
85,Dec '12,24.74
86,Nov '12,25.51
87,Oct '12,25.22
88,Sep '12,24.79
89,Aug '12,24.3
90,Jul '12,24.29
91,Jun '12,24.36
92,May '12,24.4
93,Apr '12,24.06
94,Mar '12,23.28
95,Feb '12,22.95
96,Jan '12,23.16
