,magazine website,Visitors in thousands
0,tesco.com,3498
1,asda.com,2067
2,bbcgoodfood.com,1901
3,johnlewis.com,1576
4,ok.co.uk,542
5,jamieoliver.com,456
6,waitrose.com,441
7,Cosmopolitan UK,298
8,vogue.co.uk,260
9,goodhousekeeping.co.uk,239
10,slimmingworld.co.uk,227
11,hellomagazine.com,223
12,deliciousmagazine.co.uk,191
13,glamourmagazine.co.uk,158
14,idealhome.co.uk,153
15,vanityfair.com,136
16,marieclaire.co.uk,124
17,elleuk.com,103
18,celebsnow.co.uk,80
19,womanandhome.com,78
20,redonline.co.uk,77
21,youandyourwedding.co.uk,62
22,whatsontv.co.uk,59
23,takeabreak.co.uk,39
24,weightwatchers.co.uk,38
