,Country,Annual turnover in million euros
0,Germany,560228.6
1,United Kingdom,463557.5
2,France,469185.7
3,Italy,322707.5
4,Spain,227640.7
5,Poland,119376.8
6,Netherlands,115832.9
7,Switzerland,90443.0
8,Belgium,91536.9
9,Sweden,78046.2
10,Austria,66477.8
11,Norway,52866.8
12,Portugal,49062.8
13,Denmark,44550.5
14,Romania,44911.9
15,Greece,40674.1
16,Czechia,41546.4
17,Finland,38154.7
18,Ireland,40621.5
19,Hungary,31311.9
20,Slovakia,20090.5
21,Bulgaria,15307.6
22,Croatia,13476.9
23,Slovenia,13512.2
24,Luxembourg,8320.7
25,Lithuania,10665.6
26,Latvia,7376.1
27,Estonia,6727.9
28,Bosnia and Herzegovina *,6411.2
29,Cyprus,5701.6
30,North Macedonia,3320.5
31,Iceland *,2899.9
32,Malta,2566.1
