,Month,Number of Tumblr posts in billions
0,Apr '19,171.5
1,Jan '19,168.4
2,Oct '18,165.5
3,Jul '18,162.7
4,Apr '18,160.0
5,Jan '18,157.2
6,Oct '17,154.1
7,Jul '17,151.2
8,Apr '17,148.1
9,Jan '17,144.7
10,Oct '16,141.2
11,Jul '16,137.0
12,Apr '16,133.0
13,Jan '16,128.2
14,Oct '15,122.7
15,Jul '15,116.2
16,Apr '15,106.1
17,Jan '15,102.2
18,Oct '14,93.7
19,Jul '14,83.1
20,Apr '14,82.9
21,Jan '14,73.4
22,Oct '13,64.0
23,Jul '13,55.1
24,Apr '13,44.6
25,Jan '13,40.0
26,Oct '12,33.1
27,Jul '12,26.5
28,Mar '12,20.0
29,Sep '11,10.0
30,May '11,5.0
