,player name,Number of degrees
0,Health professions and related programs,80305
1,Legal professions and studies,34544
2,Education,12780
3,Engineering,10817
4,Biological and biomedical sciences,8222
5,Psychology,6275
6,Physical sciences and science technologies,6181
7,Social sciences and history,4676
8,Business,3338
9,Theology and religious vocations,2023
10,Computer and information sciences,2017
11,Mathematics and statistics,2010
12,Visual and performing arts,1759
13,Agriculture and natural resources,1496
14,English language and literature/letters,1295
15,"Foreign languages, literatures, and linguistics",1213
16,Public administration and social services,1157
17,Multi/interdisciplinary studies,850
18,Philosophy and religious studies,768
19,"Communication, journalism, and related programs",666
20,"Area, ethnic, cultural, gender, and group studies",335
21,"Parks, recreation, leisure, and fitness studies",298
22,Family and consumer sciences/human sciences,274
23,Architecture and related services,250
24,Engineering technologies and engineering-related fields,212
25,"Homeland security, law enforcement, and firefighting",150
26,"Liberal arts and sciences, general studies,and humanities",93
27,Library science,54
28,Transportation and materials moving,16
29,Construction trades,0
30,Communications technologies,0
31,Military technologies and applied sciences,0
32,Precision production,0
33,Mechanic and repair technologies/technicians,0
