,Lobbying firm,Spending in million U.S. dollars
0,"Akin, Gump et al",42.72
1,"Brownstein, Hyatt et al",39.54
2,BGR Group,29.21
3,Squire Patton Boggs,25.7
4,Holland & Knight,24.39
5,Cornerstone Government Affairs,23.17
6,Ballard Partners,18.9
7,K&L Gates,17.88
8,Capitol Counsel,17.87
9,Ivariant LLC,16.35
10,Covington & Burling,16.31
11,Van Scoyoc Assoc,15.68
12,Peck Madigan Jones,15.49
13,"Mehlman, Castagnetti et al",15.42
14,Cassidy & Assoc,14.89
15,Forbes Tate Partners,14.56
16,Alpine Group,14.25
17,American Continental Group,13.65
18,Crossroads Strategies,13.41
19,Williams & Jensen,13.24
