,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,1.8%
3,2022*,1.6%
4,2021*,1.4%
5,2020*,1.2%
6,2019,0.81%
7,2018,0.42%
8,2017,0.69%
9,2016,0.72%
10,2015,1.24%
11,2014,0.45%
12,2013,2.58%
13,2012,1.3%
14,2011,4.9%
15,2010,1.37%
16,2009,1.01%
17,2008,6.32%
18,2007,1.9%
19,2006,2.47%
20,2005,3.88%
21,2004,1.46%
22,2003,3.3%
23,2002,3.08%
24,2001,4.36%
25,2000,2.53%
26,1999,0.74%
27,1998,4.5%
28,1997,6.3%
29,1996,2.7%
30,1995,14.1%
31,1994,25.96%
32,1993,2.13%
33,1992,4.22%
34,1991,1.58%
35,1990,-0.66%
36,1989,0.99%
37,1988,6.94%
38,1987,6.98%
39,1986,6.84%
40,1985,1.75%
