,State,Median income in current U.S. dollars
0,Massachusetts,86345
1,Maryland,86223
2,D.C.,85750
3,New Hampshire,81346
4,Hawaii,80108
5,Washington,79726
6,Virginia,77151
7,Utah,77067
8,New Jersey,74176
9,Colorado,73034
10,Connecticut,72812
11,Minnesota,71817
12,California,70489
13,Illinois,70145
14,Vermont,70066
15,Oregon,69165
16,Alaska,68734
17,Iowa,68718
18,Nebraska,67575
19,New York,67274
20,North Dakota,66505
21,Delaware,65012
22,Pennsylvania,64524
23,Kansas,63938
24,United States,63179
25,Wisconsin,62629
26,Wyoming,62539
27,Arizona,62283
28,Rhode Island,62266
29,Nevada,61864
30,Missouri,61726
31,Ohio,61633
32,Michigan,60449
33,Indiana,59892
34,Texas,59785
35,South Dakota,59463
36,Idaho,58728
37,Maine,58663
38,Montana,57679
39,South Carolina,57444
40,Tennessee,56060
41,Georgia,55821
42,Florida,54644
43,Kentucky,54555
44,Oklahoma,54434
45,North Carolina,53369
46,West Virginia,50573
47,Louisiana,49973
48,Alabama,49936
49,Arkansas,49781
50,New Mexico,48283
51,Mississippi,42781
