,Response,Share of respondents
0,It is a great opportunity to buy gifts for the holidays,42%
1,It's a tradition,39%
2,I like it even more now that I can shop online,37%
3,It is the best opportunity to buy expensive items at a discount,33%
4,It is when you find promotions that are not available at any other time of year,31%
5,It is a good way to spend quality time with friends/family,19%
6,I will wait until Cyber Monday to do most of my shopping,18%
7,Promotions are never on products I am interested in,16%
8,Retailers just discount their worst brands,9%
9,None of these,5%
