,Country,Number of dermatologists
0,Germany,5391
1,Italy,4441
2,France,4003
3,United Kingdom,2482
4,Turkey,2000
5,Spain,1652
6,Greece,1387
7,Poland,1260
8,Romania,957
9,Czech Republic *,845
10,Austria,805
11,Belgium,740
12,Netherlands,691
13,Switzerland,533
14,Sweden **,386
15,Portugal,373
16,Bulgaria,354
17,Serbia **,240
18,Croatia,208
19,Lithuania,202
20,Finland **,192
21,Denmark **,180
22,Norway,164
23,Latvia,140
24,Macedonia,110
25,Cyprus,95
26,Estonia,87
27,Slovenia,74
28,Ireland,71
29,Luxembourg,43
30,Montenegro,17
31,Malta,17
32,Iceland,17
33,Liechtenstein,4
