,Month,Trade balance value in million euros
0,Aug 2020,348
1,Jul 2020,3003
2,Jun 2020,1552
3,May 2020,1505
4,Apr 2020,-977
5,Mar 2020,602
6,Feb 2020,1018
7,Jan 2020,-394
8,Dec 2019,-1799
9,Nov 2019,-466
10,Oct 2019,607
11,Sep 2019,-99
12,Aug 2019,-442
13,Jul 2019,2087
14,Jun 2019,706
15,May 2019,1051
16,Apr 2019,-77
17,Mar 2019,-121
18,Feb 2019,-182
19,Jan 2019,-200
20,Dec 2018,-2153
21,Nov 2018,-540
22,Oct 2018,-166
23,Sep 2018,209
24,Aug 2018,-11
25,Jul 2018,1477
26,Jun 2018,652
27,May 2018,181
28,Apr 2018,348
29,Mar 2018,-27
30,Feb 2018,414
31,Jan 2018,-554
32,Dec 2017,-1756
33,Nov 2017,-995
34,Oct 2017,-417
35,Sep 2017,747
36,Aug 2017,425
37,Jul 2017,1872
38,Jun 2017,1138
39,May 2017,1681
40,Apr 2017,1129
41,Mar 2017,1074
42,Feb 2017,360
43,Jan 2017,699
