,Football player,Payroll in thousand U.S. dollars
0,Zlatan  Ibrahimovic,7200.0
1,Jonathan  dos Santos,2000.0
2,Romain  Alessandrini,1940.0
3,Cristian  Pavon,1200.0
4,Jorgen  Skjelvik,1066.67
5,Diego  Polenta,777.28
6,Giancarlo Gonzalez,719.58
7,Favio  Alvarez,586.25
8,Joe  Corona,578.5
9,Perry  Kitchen,474.17
10,Uriel  Antuna,420.0
11,David  Bingham,375.0
12,Sebastian  Lletget,312.67
13,Joao  Pedro,261.0
14,Rolf  Feltscher,242.65
15,Chris  Pontius,190.0
16,Juninho,163.13
17,Daniel Steres,157.33
18,Tomas  Hilliard-Arce,123.12
19,Dave  Romney,118.95
20,Hugo  Arellano,90.07
21,Julian  Araujo,86.25
22,Ethan  Zubak,78.13
23,Bradford  Jamieson,76.4
24,Efrain  Alvarez,75.61
25,Servando  Carrasco,70.25
26,Emil  Cuello,70.25
27,Matt  Lampson,70.25
28,Justin  Vom Steeg,57.23
29,Diedie  Traore,56.25
