,Year,Inflation rate compared to previous year
0,2025*,4%
1,2024*,4%
2,2023*,4%
3,2022*,4.1%
4,2021*,3.69%
5,2020*,3.29%
6,2019,4.37%
7,2018,4.35%
8,2017,3.93%
9,2016,2.73%
10,2015,3.16%
11,2014,6.08%
12,2013,5.19%
13,2012,5.22%
14,2011,6.76%
15,2010,4.7%
16,2009,5.5%
17,2008,11.4%
18,2007,6.94%
19,2006,5.58%
20,2005,8.81%
21,2004,8.11%
22,2003,7.67%
23,2002,7.69%
24,2001,9.68%
25,2000,11.05%
26,1999,11.66%
27,1998,13.67%
28,1997,20.2%
29,1996,23.85%
30,1995,29.43%
31,1994,21.77%
32,1993,10.78%
33,1992,8.74%
34,1991,33.95%
35,1990,23.32%
36,1989,9.85%
37,1988,4.49%
38,1987,2.49%
39,1986,4.35%
40,1985,3.36%
