,Company,Total funding in million U.S. dollars
0,"Toutiao (China), 2012",3100.0
1,"ByteDance (China), 2012",3000.0
2,"SenseTime (China), 2014",2600.0
3,"NIO (China), 2014",2500.0
4,"Argo AI (United States), 2017",1000.0
5,"Dataminr (United States), 2009",968.6
6,"UBTech Robotics (China), 2012",940.0
7,"Zoox (United States), 2014",790.0
8,"Tanium (United States), 2007",782.8
9,"Affirm (United States), 2012",720.0
10,"Indigo (United States), 2014",609.0
11,"Megvii Technology (China), 2011",607.0
12,"OakNorth (United Kingdom), 2013",601.0
13,"CloudWalk Technology (China), 2015",546.0
14,"Kreditech (Germany), 2012",497.3
15,"CrowdStrike (United States), 2011",481.0
16,"UiPath (United States), 2005",448.0
17,"WuXi NextCODE (United Kingdom), 2013",373.0
18,"Yitu Technology (China), 2012",355.1
19,"Tempus (United States), 2015",320.0
