,Month,Number of downloads
0,"Oct 31, 2020",3628
1,"Oct 30, 2020",2328
2,"Oct 29, 2020",2328
3,"Oct 28, 2020",1993
4,"Oct 27, 2020",2158
5,"Oct 26, 2020",2459
6,"Oct 25, 2020",2847
7,"Oct 24, 2020",2906
8,"Oct 23, 2020",2608
9,"Oct 22 ,2020",2571
10,"Oct 21, 2020",2648
11,"Oct 20, 2020",2779
12,"Oct 19, 2020",2994
13,"Oct 18, 2020",2651
14,"Oct 17, 2020",2379
15,"Oct 16, 2020",2157
16,"Oct 15, 2020",2082
17,"Oct 14, 2020",2066
18,"Oct 13, 2020",2116
19,"Oct 12, 2020",2181
20,"Oct 11, 2020",2188
21,"Oct 10, 2020",2174
22,"Oct 9, 2020",2068
23,"Oct 8, 2020",1960
24,"Oct 7, 2020",1970
25,"Oct 6, 2020",2026
26,"Oct 5, 2020",2009
27,"Oct 4, 2020",2176
28,"Oct 3, 2020",2066
29,"Oct 2, 2020",1982
30,"Oct 1, 2020",2028
31,"Sep 30, 2020",2055
32,"Sep 29, 2020",2197
33,"Sep 28, 2020",2378
34,"Sep 27, 2020",2429
35,"Sep 26, 2020",2273
36,"Sep 25, 2020",1987
37,"Sep 24, 2020",2116
38,"Sep 23, 2020",2305
39,"Sep 22, 2020",2510
40,"Sep 21, 2020",2630
41,"Sep 20, 2020",2260
42,"Sep 19, 2020",2093
43,"Sep 18, 2020",2166
44,"Sep 17, 2020",2196
45,"Sep 16, 2020",2215
46,"Sep 15, 2020",2452
47,"Sep 14, 2020",2303
48,"Sep 13, 2020",2223
49,"Sep 12, 2020",2118
50,"Sep 11, 2020",2107
51,"Sep 10, 2020",2006
52,"Sep 9, 2020",2094
53,"Sep 8, 2020",2250
54,"Sep 7, 2020",2418
55,"Sep 6, 2020",2820
56,"Sep 5, 2020",2601
57,"Sep 4, 2020",2284
58,"Sep 3, 2020",2189
59,"Sep 2, 2020",2454
60,"Sep 1, 2020",3025
61,"Aug 31, 2020",2329
62,"Aug 30, 2020",2206
63,"Aug 29, 2020",1910
64,"Aug 28, 2020",1847
65,"Aug 27, 2020",1795
66,"Aug 26, 2020",1938
67,"Aug 25, 2020",1984
68,"Aug 24, 2020",1987
69,"Aug 23, 2020",1861
70,"Aug 22, 2020",1736
71,"Aug 21, 2020",1696
72,"Aug 20, 2020",1890
73,"Aug 19, 2020",1947
74,"Aug 18, 2020",1859
75,"Aug 17, 2020",1826
76,"Aug 16, 2020",1793
77,"Aug 15, 2020",1773
78,"Aug 14, 2020",1574
79,"Aug 13, 2020",1681
80,"Aug 12, 2020",1829
81,"Aug 11, 2020",1927
82,"Aug 10, 2020",2035
83,"Aug 9, 2020",2105
84,"Aug 8, 2020",2359
85,"Aug 7, 2020",2451
86,"Aug 6, 2020",2355
87,"Aug 5, 2020",2425
