,Quarter,Income/loss in million U.S. dollars
0,Q3 '20,-122.21
1,Q2 '20,-150.03
2,Q1 '20,-103.93
3,Q4 '19,-3.5
4,Q3 '19,230.08
5,Q2 '19,-55.83
6,Q1 '19,-128.83
7,Q4 '18,0.56
8,Q3 '18,10.2
9,Q2 '18,-0.91
10,Q1 '18,5.61
11,Q4 '17,12.93
12,Q3 '17,18.09
13,Q2 '17,5.09
14,Q1 '17,-9.5
15,Q4 '16,-35.43
16,Q3 '16,-41.74
17,Q2 '16,-4.45
18,Q1 '16,-26.56
19,Q4 '15,-51.2
20,Q3 '15,3.05
21,Q2 '15,-26.87
22,Q1 '15,-46.5
23,Q4 '14,-45.13
24,Q3 '14,-57.06
25,Q2 '14,-62.53
26,Q1 '14,-61.18
27,Q4 '13,-25.24
28,Q3 '13,-0.68
29,Q2 '13,-15.81
30,Q1 '13,4.13
31,Q4 '12,-48.56
