,asset manager,Total AUM in million U.S. dollars
0,APG (Netherlands),462592
1,Aegon Asset Management (Netherlands),315628
2,NN Investment Partners (Netherlands),246090
3,PGGM (Netherlands),211000
4,Robeco (Netherlands),161886
5,MN (Netherlands),129006
6,Achmea Investment Management (Netherlands),128995
7,Candriam Investors Group (Belgium),114895
8,KBC Asset Management (Belgium),98465
9,CVC Capital Partners (Luxembourg/UK),65517
10,Kempen Capital Management (Netherlands),58889
11,ASR Vermogensbeheer (Netherlands),56224
12,Actiam (Netherlands),56105
13,Degroof Petercam Asset Management (Belgium),50549
14,Quilvest (Luxembourg),36000
15,InsingerGilissen (Netherlands),23700
16,SPF Beheer (Netherlands),20665
17,DMFCO - Dutch Mortgage Funding Co. (Netherlands),12400
18,Sparinvest (Luxembourg),11600
19,Bouwinvest (Netherlands),11278
20,TKP Investments (Netherlands),-
