,Player,Payroll in thousand U.S. dollars
0,Maxi Moralez,2000.0
1,Alexander Ring,945.0
2,Jesus Medina,870.83
3,Heber Araujo dos Santos,788.75
4,Alexander Callens,664.0
5,Maxime Chanot,650.0
6,Anton Tinnerholm,581.73
7,Alexandru Mitrita,500.0
8,Ronald Matarrita,420.0
9,Ebenezer Ofori,400.0
10,Sean Johnson,400.0
11,Ismael Tajouri,380.5
12,Valentin Castellanos,274.81
13,Ben Sweat,200.0
14,Keaton Parks,165.0
15,James Sands,105.0
16,Brad Stuver,100.0
17,Juan Pablo Torres,84.75
18,Joe Scally,78.07
19,Sebastien Ibeagha,74.25
20,Tony Rocha,72.35
21,Daniel Bedoya,70.25
22,Jeff Caldwell,57.23
23,Abdi Mohamed,56.25
24,Justin Haak,56.25
25,Luis Barraza,56.25
