,Year,Cumulative number of deaths
0,1/3/21,30648
1,1/2/21,30476
2,1/1/21,30208
3,12/31/20,30040
4,12/30/20,29905
5,12/29/20,29756
6,12/28/20,29629
7,12/27/20,29511
8,12/26/20,29396
9,12/25/20,29270
10,12/24/20,29149
11,12/23/20,29016
12,12/22/20,28850
13,12/21/20,28709
14,12/20/20,28598
15,12/19/20,28474
16,12/18/20,28344
17,12/17/20,28222
18,12/16/20,28100
19,12/15/20,28002
20,12/14/20,27870
21,12/13/20,27785
22,12/12/20,27675
23,12/11/20,27587
24,12/10/20,27498
25,12/9/20,27404
26,12/8/20,27307
27,12/7/20,27232
28,12/6/20,27149
29,12/5/20,27089
30,12/4/20,27017
31,12/3/20,26955
32,12/2/20,26889
33,12/1/20,26816
34,11/30/20,26747
35,11/29/20,26690
36,11/28/20,26632
37,11/27/20,26588
38,11/26/20,26549
39,11/25/20,26482
40,11/24/20,26441
41,11/23/20,26390
42,11/22/20,26357
43,11/21/20,26326
44,11/20/20,26292
45,11/19/20,26257
46,11/18/20,26225
47,11/17/20,26189
48,11/16/20,26159
49,11/15/20,26133
50,11/14/20,26103
51,11/13/20,26079
52,11/12/20,26055
53,11/11/20,26026
54,11/10/20,26005
55,11/9/20,25973
56,11/8/20,25947
57,11/7/20,25928
58,11/6/20,25910
59,11/5/20,25892
60,11/4/20,25868
61,11/3/20,25853
62,11/2/20,25838
63,11/1/20,25824
64,10/31/20,25807
65,10/30/20,25804
66,10/29/20,25792
67,10/28/20,25773
68,10/27/20,25758
69,10/26/20,25742
70,10/25/20,25730
71,10/24/20,25718
72,10/23/20,25705
73,10/22/20,25694
74,10/21/20,25679
75,10/20/20,25672
76,10/19/20,25659
77,10/18/20,25644
78,10/17/20,25637
79,10/16/20,25628
80,10/15/20,25618
81,10/14/20,25605
82,10/13/20,25598
83,10/12/20,25587
84,10/11/20,25574
85,10/10/20,25569
86,10/9/20,25561
87,10/8/20,25555
88,10/7/20,25545
89,10/6/20,25536
90,10/5/20,25527
91,10/4/20,25519
92,10/3/20,25505
93,10/2/20,25497
94,10/1/20,25490
95,9/30/20,25479
96,9/29/20,25470
97,9/28/20,25468
98,9/27/20,25456
99,9/26/20,25450
100,9/25/20,25446
101,9/24/20,25439
102,9/23/20,25437
103,9/22/20,25432
104,9/21/20,25428
105,9/20/20,25427
106,9/19/20,25425
107,9/18/20,25423
108,9/17/20,25413
109,9/16/20,25410
110,9/15/20,25405
111,9/14/20,25394
112,9/13/20,25390
113,9/12/20,25384
114,9/11/20,25382
115,9/10/20,25377
116,9/9/20,25370
117,9/8/20,25367
118,9/7/20,25361
119,9/6/20,25359
120,9/5/20,25350
121,9/4/20,25348
122,9/3/20,25343
123,9/2/20,25336
124,9/1/20,25331
125,8/31/20,25328
126,8/30/20,25327
127,8/29/20,25319
128,8/28/20,25312
129,8/27/20,25309
130,8/26/20,25305
131,8/25/20,25297
132,8/24/20,25295
133,8/23/20,25288
134,8/22/20,25282
135,8/21/20,25278
136,8/20/20,25275
137,8/19/20,25270
138,8/18/20,25264
139,8/17/20,25256
140,8/16/20,25250
141,8/15/20,25244
142,8/14/20,25232
143,8/13/20,25228
144,8/12/20,25218
145,8/11/20,25211
146,8/10/20,25204
147,8/9/20,25202
148,8/8/20,25195
149,8/7/20,25190
150,8/6/20,25185
151,8/5/20,25179
152,8/4/20,25175
153,8/3/20,25172
154,8/2/20,25170
155,8/1/20,25164
156,7/31/20,25150
157,7/30/20,25145
158,7/29/20,25132
159,7/28/20,25126
160,7/27/20,25117
161,7/26/20,25106
162,7/25/20,25103
163,7/24/20,25090
164,7/23/20,25081
165,7/22/20,25068
166,7/21/20,25058
167,7/20/20,25056
168,7/19/20,25048
169,7/18/20,25035
170,7/17/20,25024
171,7/16/20,25014
172,7/15/20,25003
173,7/14/20,24994
174,7/13/20,24989
175,7/12/20,24979
176,7/11/20,24974
177,7/10/20,24968
178,7/9/20,24959
179,7/8/20,24944
180,7/7/20,24924
181,7/6/20,24913
182,7/5/20,24904
183,7/4/20,24896
184,7/3/20,24885
185,7/2/20,24877
186,7/1/20,24866
187,6/30/20,24855
188,6/29/20,24842
189,6/28/20,24835
190,6/27/20,24830
191,6/26/20,24814
192,6/25/20,24800
193,6/24/20,24782
194,6/23/20,24766
195,6/22/20,24739
196,6/21/20,24725
197,6/20/20,24710
198,6/19/20,24686
199,6/18/20,24661
200,6/17/20,24629
201,6/16/20,24608
202,6/15/20,24579
203,6/14/20,24551
204,6/13/20,24527
205,6/12/20,24495
206,6/11/20,24442
207,6/10/20,24404
208,6/9/20,24348
209,6/8/20,24299
210,6/7/20,24259
211,6/6/20,24212
212,6/5/20,24175
213,6/4/20,24133
214,6/3/20,24079
215,6/2/20,24023
216,6/1/20,23959
217,5/31/20,23905
218,5/30/20,23848
219,5/29/20,23780
220,5/28/20,23722
221,5/27/20,23643
222,5/26/20,23564
223,5/25/20,23488
224,5/24/20,23391
225,5/23/20,23282
226,5/22/20,23195
227,5/21/20,23083
228,5/20/20,22976
229,5/19/20,22843
230,5/18/20,22729
231,5/17/20,22619
232,5/16/20,22478
233,5/15/20,22304
234,5/14/20,22170
235,5/13/20,22013
236,5/12/20,21845
237,5/11/20,21640
238,5/10/20,21478
239,5/9/20,21271
240,5/8/20,21045
241,5/7/20,20828
242,5/6/20,19877
243,5/5/20,19645
244,5/4/20,19415
245,5/3/20,19189
246,5/2/20,18909
247,5/1/20,18610
248,4/30/20,18321
249,4/29/20,18015
250,4/28/20,17638
251,4/27/20,17303
252,4/26/20,16966
253,4/25/20,16599
254,4/24/20,16162
255,4/23/20,15740
256,4/22/20,15302
257,4/21/20,14828
258,4/20/20,14347
259,4/19/20,13869
260,4/18/20,13362
261,4/17/20,12822
262,4/16/20,12192
263,4/15/20,11586
264,4/14/20,10834
265,4/13/20,10056
266,4/12/20,9385
267,4/11/20,8627
268,4/10/20,7844
269,4/9/20,7067
270,4/8/20,6268
271,4/7/20,5489
272,4/6/20,4758
273,4/5/20,4159
274,4/4/20,3565
275,4/3/20,2935
276,4/2/20,2373
277,4/1/20,1941
278,3/31/20,1550
279,3/30/20,1218
280,3/29/20,965
281,3/28/20,728
282,3/27/20,519
283,3/26/20,385
284,3/25/20,285
285,3/24/20,210
286,3/23/20,114
287,3/22/20,114
288,3/21/20,44
289,3/20/20,35
290,3/19/20,12
291,3/18/20,12
292,3/17/20,7
293,3/16/20,7
294,3/15/20,3
