,State,Number of buses
0,California,99917
1,New York,80446
2,Texas,67143
3,Florida,59596
4,Pennsylvania,55935
5,Ohio,41255
6,Georgia,36418
7,Illinois,34359
8,Virginia,34268
9,North Carolina,32493
10,Louisiana,29160
11,Tennessee,29158
12,Missouri,27180
13,New Jersey,25097
14,Washington,23566
15,Maryland,22972
16,Indiana,20726
17,Minnesota,19980
18,South Carolina,17728
19,Oregon,17691
20,Wisconsin,15567
21,Nebraska,13564
22,Massachusetts,13498
23,Colorado,13305
24,Arkansas,11941
25,Connecticut,11378
26,Kentucky,10759
27,Iowa,9284
28,Arizona,9051
29,Michigan,8737
30,Alaska,8080
31,Mississippi,8018
32,New Mexico,6278
33,Kansas,6228
34,Utah,6108
35,Alabama,5682
36,District of Columbia,4885
37,Montana,4702
38,Maine,4339
39,Wyoming,4219
40,Idaho,3870
41,Delaware,3763
42,West Virginia,3342
43,North Dakota,3331
44,Nevada,3198
45,Oklahoma,3155
46,Hawaii,3033
47,New Hampshire,2871
48,South Dakota,2614
49,Rhode Island,2273
50,Vermont,1070
