,state of India,Number of registered cars in thousands
0,Maharashtra,3715.74
1,Delhi,3061.82
2,Gujarat,2527.54
3,Kerala,2386.0
4,Tamil Nadu,2315.77
5,Karnataka,2110.49
6,Uttar Pradesh,2027.97
7,Haryana,1851.79
8,Telangana,1081.63
9,Rajasthan,988.39
10,West Bengal,961.37
11,Madhya Pradesh,869.78
12,Assam,620.2
13,Andhra Pradesh,545.71
14,Chandigarh,469.67
15,Jammu and Kashmir,421.39
16,Uttarakhand,385.45
17,Jharkhand,352.51
18,Odisha,350.23
19,Himachal Pradesh,318.24
20,Bihar,300.08
21,Chhattisgarh,282.06
22,Goa,251.03
23,Puducherry,91.08
24,Meghalaya,81.08
25,Nagaland,74.56
26,Arunachal Pradesh,57.55
27,Manipur,52.12
28,Tripura,41.62
29,Dadra and Nagar Haveli,30.34
30,Mizoram,26.87
31,Daman and Diu,24.77
32,Sikkim,18.66
33,Lakshadweep,0.16
