,Year,"Deaths per 1,000 live births"
0,2020,4.0
1,2015,5.0
2,2010,6.0
3,2005,6.0
4,2000,7.0
5,1995,8.0
6,1990,11.0
7,1985,12.0
8,1980,16.0
9,1975,20.0
10,1970,22.0
11,1965,25.0
12,1960,28.0
13,1955,33.0
14,1950,44.27
15,1945,65.47
16,1940,75.84
17,1935,88.34
18,1930,101.42
19,1925,112.48
20,1920,141.82
21,1915,162.78
22,1910,172.13
23,1905,200.16
24,1900,228.08
25,1895,228.17
26,1890,226.1
27,1885,223.2
28,1880,238.93
29,1875,248.41
30,1870,262.29
31,1865,266.08
32,1860,261.75
33,1855,267.36
34,1850,273.78
35,1845,255.65
36,1840,267.72
37,1835,297.69
38,1830,309.17
39,1825,315.44
40,1820,313.26
41,1815,310.02
42,1810,315.87
43,1805,323.07
44,1800,329.04
