,Country,Male,Female
0,2028-29*,335.0,502.0
1,2027-28*,335.0,501.0
2,2026-27*,334.0,500.0
3,2025-26*,333.0,498.0
4,2024-25*,332.0,497.0
5,2023-24*,331.0,495.0
6,2022-23*,330.0,493.0
7,2021-22*,330.0,492.0
8,2020-21*,329.0,491.0
9,2019-20*,329.0,491.0
10,2018-19*,328.0,489.0
11,2017-18*,327.0,487.0
12,2016-17,326.89,477.79
13,2015-16,320.57,465.18
14,2014-15,306.62,452.19
15,2013-14,302.85,451.74
16,2012-13,301.55,450.17
17,2011-12,302.48,453.48
18,2010-11,291.68,439.24
19,2009-10,275.32,418.0
20,2008-09,263.52,398.57
21,2007-08,250.2,380.64
22,2006-07,242.21,368.49
23,2005-06,241.7,358.16
24,2004-05,237.16,343.0
25,2003-04,233.06,331.22
26,2002-03,215.17,303.53
27,2001-02,202.6,284.71
28,2000-01,197.77,275.73
29,1999-00,196.13,267.06
30,1998-99,190.23,255.81
31,1997-98,188.72,247.32
32,1996-97,185.27,239.99
33,1995-96,183.48,228.7
34,1994-95,183.04,220.57
35,1993-94,180.57,212.47
36,1992-93,173.35,201.68
37,1991-92,165.87,192.22
38,1990-91,160.84,182.02
39,1989-90,158.05,172.1
40,1988-89,153.99,162.63
41,1987-88,150.24,155.54
42,1986-87,147.06,149.47
43,1985-86,149.37,146.48
44,1984-85,149.28,144.2
45,1983-84,149.27,141.87
46,1982-83,150.09,146.32
47,1981-82,151.35,151.1
48,1980-81,152.98,149.66
49,1979-80,156.88,148.31
50,1978-79,159.11,148.58
51,1977-78,166.86,151.13
52,1976-77,173.09,149.94
53,1975-76,172.52,144.96
54,1974-75,166.32,131.23
55,1973-74,162.61,119.47
56,1972-73,159.57,109.09
57,1971-72,155.01,102.19
58,1970-71,143.08,92.48
59,1969-70,130.8,82.79
60,1959-60,50.9,23.54
61,1949-50,41.22,16.96
