,Month,Units sold
0,Dec 20,11479
1,Nov 20,10569
2,Oct 20,12946
3,Sep 20,28252
4,Aug 20,10843
5,Jul 20,18814
6,Jun 20,13622
7,May 20,2111
8,Apr 20,306
9,Mar 20,18996
10,Feb 20,8462
11,Jan 20,16377
12,Dec 19,15030
13,Nov 19,16238
14,Oct 19,16745
15,Sep 19,32522
16,Aug 19,10764
17,Jul 19,17049
18,Jun 19,22049
19,May 19,19892
20,Apr 19,18074
21,Mar 19,40755
22,Feb 19,10390
23,Jan 19,16629
24,Dec 18,16493
25,Nov 18,14666
26,Oct 18,16820
27,Sep 18,33326
28,Aug 18,11208
29,Jul 18,16028
30,Jun 18,22334
31,May 18,21136
32,Apr 18,20114
33,Mar 18,50257
34,Feb 18,12046
35,Jan 18,19654
36,Dec 17,15541
37,Nov 17,18095
38,Oct 17,19580
39,Sep 17,39696
40,Aug 17,9234
41,Jul 17,16934
42,Jun 17,27095
43,May 17,20514
44,Apr 17,16183
45,Mar 17,71837
46,Feb 17,9909
47,Jan 17,22778
