,Year,First Bundesliga memebership in years
0,Werder Bremen,57
1,FC Bayern München,56
2,Hamburger SV,55
3,VfB Stuttgart,54
4,Borussia Dortmund,54
5,Borussia Mönchengladbach,53
6,FC Schalke 04,53
7,Eintracht Frankfurt,52
8,1. FC Köln,49
9,1. FC Kaiserslautern,44
10,Bayer 04 Leverkusen,42
11,Hertha BSC,38
12,VfL Bochum,34
13,1. FC Nürnberg,33
14,Hannover 96,30
15,MSV Duisburg,28
16,Fortuna Düsseldorf,25
17,VfL Wolfsburg,24
18,Karlsruher SC,24
19,SC Freiburg,21
20,Eintracht Braunschweig,21
21,TSV 1860 München,20
22,Arminia Bielefeld,18
23,1. FSV Mainz 05,15
24,KFC Uerdingen 05,14
25,1899 Hoffenheim,13
26,FC Hansa Rostock,12
27,FC Augsburg,10
28,FC St. Pauli,8
29,Kickers Offenbach,7
30,Rot-Weiß Essen,7
31,Waldhof Mannheim,7
32,FC Energie Cottbus,6
33,RB Leipzig,5
34,1. FC Saarbrücken,5
35,Dynamo Dresden,4
36,SG Wattenscheid 09,4
37,Alemannia Aachen,4
38,RW Oberhausen,4
39,SV Darmstadt 98,4
40,Wuppertaler SV,3
41,Borussia Neunkirchen,3
42,FC 08 Homburg,3
43,Tennis Borussia Berlin,2
44,SpVgg Unterhaching,2
45,Stuttgart Kickers,2
46,FC Ingolstadt 04,2
47,SC Paderborn,2
48,Union Berlin,2
49,SpVgg Greuther Fürth,1
50,SSV Ulm 1846,1
51,VfB Leipzig,1
52,Fortuna Köln,1
53,Blau-Weiß 90 Berlin,1
54,Preußen Münster,1
55,Tasmania 1900 Berlin,1
