,Response,Share of respondents
0,Favorite bands clashing on the running order,43%
1,Wet and muddy conditions,12.4%
2,Queues and overcrowding,8.8%
3,The price of food and drink on-site,8.5%
4,Lack of showers or clean toilets,7.3%
5,Having to walk long distances,5.8%
6,The price of tickets,5.4%
7,Restrictions on what you could bring,5.4%
8,Poor sound,2.7%
9,Bad organisation,2.4%
10,Inabilty to pay by card / lack of cashpoints,2.1%
11,Limited choice of food or drink,1.9%
12,Unfriendly security,1.8%
