,Year,Gross domestic product in billion U.S. dollars
0,2024*,39.97
1,2023*,38.09
2,2022*,36.42
3,2021*,35.0
4,2020*,34.08
5,2019*,33.02
6,2018*,40.95
7,2017,30.56
8,2016,18.54
9,2015,17.19
10,2014,24.26
11,2013,51.9
12,2012,79.76
13,2011,32.0
14,2010,68.97
15,2009,50.81
16,2008,73.92
17,2007,67.69
18,2006,54.96
19,2005,47.34
20,2004,33.0
21,2003,26.19
22,2002,20.47
23,2001,34.11
24,2000,38.27
25,1999,35.98
26,1998,29.96
27,1997,36.53
28,1996,35.68
29,1995,32.69
30,1994,28.8
31,1993,30.92
32,1992,34.36
33,1991,33.91
34,1990,30.64
35,1989,26.59
36,1988,25.07
37,1987,22.29
38,1986,23.99
39,1985,29.44
40,1984,29.93
