,Household composition,Percentage of respondents
0,"One adult, retired mainly dependent on state pensions*",45%
1,"One adult, other retired",60%
2,"One adult, non-retired",82%
3,"One adult, one child",90%
4,"One adult, two or more children",85%
5,"Two adults, retired mainly dependent on state pensions*",81%
6,"Two adults, other retired",89%
7,"Two adults, non-retired",97%
8,"Two adults, one child",97%
9,"Two adults, two children",99%
10,"Two adults, three children",96%
11,"Two adults, four or more children",100%
12,Three adults,96%
13,"Three adults, one or more children",100%
14,All other households without children,99%
15,All other households with children,99%
