,Year,GDP per capita in U.S. dollars
0,2025*,28674.0
1,2024*,27301.06
2,2023*,25940.81
3,2022*,24411.17
4,2021*,22751.74
5,2020*,19883.07
6,2019,19482.14
7,2018,19089.28
8,2017,16876.66
9,2016,15005.5
10,2015,14256.28
11,2014,16571.43
12,2013,15695.74
13,2012,14354.29
14,2011,14386.61
15,2010,12010.68
16,2009,11866.63
17,2008,15047.25
18,2007,12313.17
19,2006,9246.51
20,2005,7880.35
21,2004,6706.03
22,2003,5505.59
23,2002,4146.11
24,2001,3530.2
25,2000,3297.45
26,1999,3113.64
27,1998,3166.96
28,1997,2830.75
29,1996,2328.22
30,1995,1845.67
