,Year,Number of new cases
0,1/5/21,733893
1,1/4/21,549954
2,1/3/21,535176
3,1/2/21,623132
4,1/1/21,539326
5,12/31/20,716166
6,12/30/20,756739
7,12/29/20,665688
8,12/28/20,488731
9,12/27/20,432920
10,12/26/20,512629
11,12/25/20,467535
12,12/24/20,671493
13,12/23/20,691597
14,12/22/20,646468
15,12/21/20,541953
16,12/20/20,533792
17,12/19/20,616376
18,12/18/20,717608
19,12/17/20,736424
20,12/16/20,733791
21,12/15/20,624433
22,12/14/20,524425
23,12/13/20,548600
24,12/12/20,623004
25,12/11/20,699049
26,12/10/20,670828
27,12/9/20,669493
28,12/8/20,637483
29,12/7/20,515100
30,12/6/20,539352
31,12/5/20,642896
32,12/4/20,680734
33,12/3/20,692480
34,12/2/20,647304
35,12/1/20,608495
36,11/30/20,505473
37,11/29/20,486344
38,11/28/20,598718
39,11/27/20,671089
40,11/26/20,584432
41,11/25/20,636005
42,11/24/20,589364
43,11/23/20,518957
44,11/22/20,488359
45,11/21/20,588864
46,11/20/20,667072
47,11/19/20,651901
48,11/18/20,626059
49,11/17/20,607886
50,11/16/20,531008
51,11/15/20,474242
52,11/14/20,595263
53,11/13/20,650889
54,11/12/20,647465
55,11/11/20,647608
56,11/10/20,557889
57,11/9/20,502474
58,11/8/20,479366
59,11/7/20,597993
60,11/6/20,643675
61,11/5/20,595543
62,11/4/20,510271
63,11/3/20,552555
64,11/2/20,560987
65,11/1/20,462201
66,10/31/20,476088
67,10/30/20,570190
68,10/29/20,550014
69,10/28/20,510783
70,10/27/20,469252
71,10/26/20,485998
72,10/25/20,360371
73,10/24/20,456753
74,10/23/20,496161
75,10/22/20,472204
76,10/21/20,444250
77,10/20/20,388639
78,10/19/20,386428
79,10/18/20,316631
80,10/17/20,372611
81,10/16/20,411227
82,10/15/20,406635
83,10/14/20,381885
84,10/13/20,318824
85,10/12/20,291130
86,10/11/20,287559
87,10/10/20,356565
88,10/9/20,360414
89,10/8/20,361286
90,10/7/20,350665
91,10/6/20,325873
92,10/5/20,300630
93,10/4/20,261907
94,10/3/20,332038
95,10/2/20,297396
96,10/1/20,318066
97,9/30/20,328127
98,9/29/20,281829
99,9/28/20,253970
100,9/27/20,251565
101,9/26/20,288126
102,9/25/20,330389
103,9/24/20,352304
104,9/23/20,275355
105,9/22/20,284055
106,9/21/20,275818
107,9/20/20,252076
108,9/19/20,292180
109,9/18/20,325644
110,9/17/20,314822
111,9/16/20,304074
112,9/15/20,285343
113,9/14/20,263271
114,9/13/20,242806
115,9/12/20,286479
116,9/11/20,321087
117,9/10/20,299947
118,9/9/20,284723
119,9/8/20,241851
120,9/7/20,217774
121,9/6/20,230750
122,9/5/20,269981
123,9/4/20,313825
124,9/3/20,281047
125,9/2/20,283525
126,9/1/20,264752
127,8/31/20,262647
128,8/30/20,221277
129,8/29/20,266531
130,8/28/20,283668
131,8/27/20,283742
132,8/26/20,284128
133,8/25/20,243725
134,8/24/20,225228
135,8/23/20,206408
136,8/22/20,264457
137,8/21/20,261046
138,8/20/20,272516
139,8/19/20,279852
140,8/18/20,258142
141,8/17/20,207879
142,8/16/20,216194
143,8/15/20,247320
144,8/14/20,303019
145,8/13/20,289706
146,8/12/20,277258
147,8/11/20,256499
148,8/10/20,227011
149,8/9/20,225393
150,8/8/20,258488
151,8/7/20,281429
152,8/6/20,285202
153,8/5/20,276523
154,8/4/20,256324
155,8/3/20,205695
156,8/2/20,231551
157,8/1/20,248926
158,7/31/20,290985
159,7/30/20,280432
160,7/29/20,291487
161,7/28/20,251958
162,7/27/20,225819
163,7/26/20,212973
164,7/25/20,254389
165,7/24/20,281211
166,7/23/20,282930
167,7/22/20,281278
168,7/21/20,233110
169,7/20/20,206392
170,7/19/20,213739
171,7/18/20,236350
172,7/17/20,242376
173,7/16/20,252118
174,7/15/20,231473
175,7/14/20,221733
176,7/13/20,190857
177,7/12/20,192586
178,7/11/20,217524
179,7/10/20,232582
180,7/9/20,227004
181,7/8/20,213780
