,Year,Inflation rate compared to previous year
0,2025*,2.5%
1,2024*,2.5%
2,2023*,2.5%
3,2022*,2.5%
4,2021*,2.3%
5,2020*,1%
6,2019,1.1%
7,2018,0.58%
8,2017,1.51%
9,2016,3.48%
10,2015,3.68%
11,2014,3.13%
12,2013,2.7%
13,2012,3.2%
14,2011,4.91%
15,2010,4.5%
16,2009,4.61%
17,2008,6.3%
18,2007,5.47%
19,2006,3.09%
20,2005,4.12%
21,2004,1.26%
22,2003,0.99%
23,2002,0.8%
24,2001,1.45%
25,2000,1.57%
26,1999,3.08%
27,1998,0.6%
28,1997,0.81%
29,1996,3.04%
30,1995,2.53%
31,1994,2.37%
32,1993,0.6%
33,1992,-0.32%
34,1991,8.13%
35,1990,15.8%
36,1989,3.34%
37,1988,1.47%
38,1987,0.66%
39,1986,0.95%
40,1985,1.49%
