,association football club,Market value in million euros
0,FC Bayern Munich,874.65
1,Borussia Dortmund,587.25
2,RasenBallsport Leipzig,514.58
3,Bayer 04 Leverkusen,323.45
4,Borussia Mönchengladbach,313.38
5,Hertha BSC Berlin,234.63
6,TSG 1899 Hoffenheim,224.1
7,VfL Wolfsburg,209.25
8,Eintracht Frankfurt,184.9
9,FC Schalke 04,171.55
10,SC Freiburg,106.2
11,1. FSV Mainz 05,103.95
12,SV Werder Bremen,102.5
13,1.FC Köln,101.83
14,FC Augsburg,96.43
15,VfB Stuttgart,79.75
16,1.FC Union Berlin,56.03
17,Arminia Bielefeld,47.15
