,Quarter,Number of domestic smart meters installed
0,Q4 '19,1155653
1,Q3 '19,1068552
2,Q2 '19,1009112
3,Q1 '19,1031598
4,Q4 '18,1105394
5,Q3 '18,1128013
6,Q2 '18,1249308
7,Q1 '18,1240522
8,Q4 '17,1317885
9,Q3 '17,1181188
10,Q2 '17,1058132
11,Q1 '17,1027680
12,Q4 '16,935446
13,Q3 '16,814972
14,Q2 '16,622903
15,Q1 '16,540126
16,Q4 '15,402638
17,Q3 '15,336061
18,Q2 '15,272598
19,Q1 '15,211717
20,Q4 '14,142963
21,Q3 '14,129991
22,Q2 '14,97329
23,Q1 '14,98644
24,Q4 '13,95333
25,Q3 '13,92822
26,Q2 '13,80586
27,Q1 '13,23641
28,Q4 '12,3241
29,Q3 '12,68
