,Year,Africa,Arab States,Asia & Pacific,CIS,Europe,Americas
0,2019*,28.2%,51.6%,48.4%,72.2%,82.5%,77.2%
1,2018,26.3%,49.5%,46.2%,69.9%,80.1%,74.6%
2,2017,24.8%,46.5%,43.6%,66.1%,77.4%,72.2%
3,2016,22.3%,43.6%,38.3%,63.6%,74.9%,68.6%
4,2015,20.3%,41.7%,34.6%,60.6%,72.9%,63%
5,2014,18.1%,35.5%,32.6%,59.9%,71.9%,58.7%
6,2013,16.1%,32.8%,30.6%,57.1%,69.4%,56.2%
7,2012,14.2%,30.3%,27.9%,53.3%,67.3%,55.2%
8,2011,12.2%,27%,25.4%,42%,64.7%,51.1%
9,2010,9.9%,24%,22.6%,35.6%,63.2%,48.8%
10,2009,7.6%,20.6%,19%,24.3%,59.6%,46.3%
