,Country,Change compared to the same quarter of the previous year
0,Croatia,1.8%
1,Poland,1.5%
2,Hungary,1.5%
3,Romania,1.3%
4,Bulgaria,1.2%
5,Lithuania,1%
6,Slowakia,0.9%
7,Cyprus,0.9%
8,Slovenia,0.8%
9,Spain,0.7%
10,Sweden,0.6%
11,Czech Republic,0.6%
12,EU,0.5%
13,Estonia,0.5%
14,United Kingdom,0.5%
15,Portugal,0.5%
16,Netherlands,0.5%
17,Malta*,0.5%
18,Euro area,0.4%
19,Germany,0.4%
20,Austria,0.4%
21,Belgium,0.3%
22,Luxembourg*,0.3%
23,France,0.3%
24,Denmark,0.2%
25,Greece,0.2%
26,Finland,0.2%
27,Ireland*,0.1%
28,Italy,0.1%
29,Latvia,-0.1%
