,ceremonial county of England,Number of inhabitants (in thousands)
0,Greater London,8961.99
1,West Midlands,2928.59
2,Greater Manchester,2835.69
3,West Yorkshire,2332.47
4,Kent,1860.11
5,Hampshire,1849.97
6,Essex,1846.66
7,Lancashire,1508.94
8,Merseyside,1429.91
9,South Yorkshire,1409.02
10,Devon,1200.74
11,Surrey,1196.24
12,Hertfordshire,1189.52
13,Nottinghamshire,1161.12
14,Tyne and Wear,1141.47
15,Staffordshire,1135.94
16,North Yorkshire,1106.8
17,Lincolnshire,1093.08
18,Cheshire,1066.65
19,Leicestershire,1060.38
20,Derbyshire,1060.0
21,Somerset,970.56
22,County Durham,927.91
23,Gloucestershire,922.16
24,Berkshire,914.86
25,Norfolk,907.76
26,West Sussex,863.98
27,Cambridgeshire,855.8
28,East Sussex,848.11
29,Buckinghamshire,813.43
30,Dorset,773.84
31,Suffolk,761.35
32,Northamptonshire,753.28
33,Wiltshire,722.22
34,Oxfordshire,691.67
35,Bedfordshire,674.99
36,East Yorkshire,600.95
37,Worcestershire,595.79
38,Warwickshire,577.93
39,Cornwall,571.8
40,Shropshire,502.99
41,Cumbria,500.01
42,Bristol,463.38
43,Northumberland,322.43
44,Herefordshire,192.8
45,Isle of Wight,141.77
46,Rutland,39.93
