,basketball team,Payroll in million U.S. dollars
0,Oklahoma City Thunder,162
1,Golden State Warriors,156
2,Toronto Raptors,146
3,Houston Rockets,146
4,Miami Heat,144
5,Portland Trail Blazers,143
6,San Antonio Spurs,142
7,Washington Wizards,142
8,Boston Celtics,139
9,Detroit Pistons,138
10,Cleveland Cavaliers,137
11,Memphis Grizzlies,136
12,Brooklyn Nets (New Jersey Nets),135
13,New York Knicks,134
14,Minnesota Timberwolves,132
15,Denver Nuggets,131
16,Utah Jazz,129
17,Los Angeles Clippers,128
18,Charlotte Hornets,127
19,New Orleans Pelicans,127
20,Milwaukee Bucks,126
21,Los Angeles Lakers,120
22,Orlando Magic,120
23,Indiana Pacers,119
24,Philadelphia 76ers,117
25,Chicago Bulls,115
26,Phoenix Suns,115
27,Dallas Mavericks,108
28,Sacramento Kings,107
29,Atlanta Hawks,95
