,Month,Amount of U.S. dollars pledged in millions
0,Jul 12,276.0
1,Jun 13,661.0
2,Aug 13,763.0
3,Feb 14,982.0
4,Mar 14,1000.0
5,Jul 14,1207.06
6,Oct 14,1351.55
7,Jan 15,1470.96
8,Apr 15,1648.98
9,Jul 15,1843.97
10,Oct 15,2002.8
11,Jan 16,2165.24
12,Apr 16,2327.0
13,Aug 16,2526.7
14,Oct 16,2685.6
15,Jan 17,2835.95
16,Apr 17,3006.07
17,Aug 17,3209.24
18,Oct 17,3314.85
19,Jan 18,3458.04
20,Apr 18,3607.43
21,Aug 18,3827.68
22,Oct 18,3923.18
23,Jan 19,4065.01
24,Apr 19,4203.44
25,Jul 19,4389.89
26,Oct 19,4559.21
27,Nov 20,5433.83
