,Brand/Segment,Sales in million U.S. dollars
0,Neutrogena/ makeup remover implements,129.0
1,CoverGirl Last Blast/ mascara,57.1
2,Revlon Super Lustrous/ lipstick,55.9
3,L'Oréal Voluminous/ mascara,55.5
4,Maybelline Volum'Express Falsies/ mascara,51.8
5,CoverGirl Clean/ powder,51.8
6,Revlon ColorStay/ foundation,50.6
7,Maybelline Great Lash/ mascara,49.4
8,CoverGirl Outlast/ lipstick,48.5
9,CoverGirl Clean/ foundation,48.1
10,Revlon ColorStay/ eyeliner,47.3
11,L'Oréal True Match/ foundation,45.8
12,L'Oréal Colour Riche/ lipstick,45.5
13,CoverGirl Perfect Point Plus/ eyeliner,43.1
14,Maybelline Volum'Express Colossal/ mascara,41.8
15,Maybelline Color Sensational/ lipstick,38.5
16,L'Oréal True Match/ powder,36.8
17,Maybelline Expert Wear/ eyeshadow,35.7
18,Maybelline Volum'Express Rocket/ mascara,35.0
19,CoverGirl Eye Enhancers/ eyeshadow,34.5
