,Month,USD GBP exchange rate
0,Oct 20,0.77
1,Sep 20,0.77
2,Aug 20,0.75
3,Jul 20,0.76
4,Jun 20,0.81
5,May 20,0.81
6,Apr 20,0.8
7,Mar 20,0.81
8,Feb 20,0.78
9,Jan 20,0.76
10,Dec 19,0.76
11,Nov 19,0.77
12,Oct 19,0.78
13,Sep 19,0.81
14,Aug 19,0.82
15,Jul 19,0.82
16,Jun 19,0.79
17,May 19,0.79
18,Apr 19,0.77
19,Mar 19,0.77
20,Feb 19,0.75
21,Jan 19,0.76
22,Dec 18,0.79
23,Nov 18,0.78
24,Oct 18,0.79
25,Sep 18,0.76
26,Aug 18,0.78
27,Jul 18,0.76
28,Jun 18,0.76
29,May 18,0.75
30,Apr 18,0.73
31,Mar 18,0.71
32,Feb 18,0.73
33,Jan 18,0.71
34,Dec 17,0.74
35,Nov 17,0.74
36,Oct 17,0.76
37,Sep 17,0.74
38,Aug 17,0.77
39,Jul 17,0.76
40,Jun 17,0.77
41,May 17,0.78
42,Apr 17,0.78
43,Mar 17,0.8
44,Feb 17,0.8
45,Jan 17,0.8
