,Country,Inflation rate compared to previous year
0,Romania,3.9%
1,Hungary,3.4%
2,Latvia,3.1%
3,Slowakia,2.7%
4,Netherlands,2.7%
5,Estonia,2.6%
6,Czech Republic,2.4%
7,Lithuania,2.4%
8,Poland,2.3%
9,Bulgaria,2.3%
10,United Kingdom,2%
11,Slovenia,1.9%
12,Malta,1.8%
13,Sweden,1.6%
14,EU,1.6%
15,Austria,1.6%
16,Luxembourg,1.5%
17,Germany,1.5%
18,France,1.4%
19,Belgium,1.3%
20,Euro area,1.3%
21,Finland,1.1%
22,Ireland,1.1%
23,Italy,0.8%
24,Portugal,0.7%
25,Spain,0.6%
26,Croatia,0.5%
27,Denmarj,0.5%
28,Cyprus,0.3%
29,Greece,0.2%
