,Year,Number of inhabitants in thousand
0,1st arrondissement (Louvre),16338
1,2nd arrondissement (Bourse),20410
2,3rd arrondissement (Temple),35469
3,4th arrondissement (Hôtel-de-Ville),27795
4,5th arrondissement (Panthéon),59947
5,6th arrondissement (Luxembourg),41831
6,7th arrondissement (Palais-Bourbon),53415
7,8th arrondissement (Elysée),37053
8,9th arrondissement (Opéra),60235
9,10th arrondissement (Entrepôt),92660
10,11th arrondissement (Popincourt),148339
11,12th arrondissement (Reuilly),142661
12,13th arrondissement (Gobelins),183117
13,14th arrondissement (Observatoire),138218
14,15th arrondissement (Vaugirard),235469
15,16th arrondissement (Passy),167706
16,17th arrondissement (Batignolles-Monceau),169375
17,18th arrondissement (Butte-Montmartre),196143
18,19th arrondissement (Buttes-Chaumont),187760
19,20th arrondissement (Ménilmontant),196884
