,Date,Year-over-year change in seated restaurant diners
0,2/24,-6%
1,2/25,-5%
2,2/26,-5%
3,2/27,-8%
4,2/28,-2%
5,2/29,-3%
6,3/1,-2%
7,3/2,-7%
8,3/3,-11%
9,3/4,-9%
10,3/5,-12%
11,3/6,-5%
12,3/7,-3%
13,3/8,1%
14,3/9,-18%
15,3/10,-17%
16,3/11,-14%
17,3/12,-24%
18,3/13,-26%
19,3/14,-20%
20,3/15,-31%
21,3/16,-52%
22,3/17,-82%
23,3/18,-88%
24,3/19,-91.08%
25,3/20,-93.93%
26,3/21,-99.96%
27,3/22,-99.99%
28,3/23,-100%
29,3/24,-100%
30,3/25,-100%
31,3/26,-100%
32,3/27,-100%
33,3/28,-100%
34,3/29,-100%
35,3/30,-100%
36,3/31,-100%
37,4/1,-100%
38,4/2,-100%
39,4/3,-100%
40,4/4,-100%
41,4/5,-100%
42,4/6,-100%
43,4/7,-100%
44,4/8,-100%
45,4/9,-100%
46,4/10,-100%
47,4/11,-100%
48,4/12,-100%
49,4/13,-100%
50,4/14,-100%
51,4/15,-100%
52,4/16,-100%
53,4/17,-100%
54,4/18,-100%
55,4/19,-100%
56,4/20,-100%
57,4/21,-100%
58,4/22,-100%
59,4/23,-100%
60,4/24,-100%
61,4/25,-100%
62,4/26,-100%
63,4/27,-100%
64,4/28,-100%
65,4/29,-100%
66,4/30,-100%
67,5/1,-100%
68,5/2,-100%
69,5/3,-100%
70,5/4,-100%
71,5/5,-100%
72,5/6,-100%
73,5/7,-100%
74,5/8,-100%
75,5/9,-100%
76,5/10,-100%
77,5/11,-99.49%
78,5/12,-99.3%
79,5/13,-99.32%
80,5/14,-98.92%
81,5/15,-99.12%
82,5/16,-97.5%
83,5/17,-98.88%
84,5/18,-99.38%
85,5/19,-98.85%
86,5/20,-99%
87,5/21,-98.64%
88,5/22,-98.87%
89,5/23,-98.02%
90,5/24,-98.56%
91,5/25,-99.96%
92,5/26,-98.98%
93,5/27,-99.31%
94,5/28,-99.22%
95,5/29,-99.02%
96,5/30,-98.05%
97,5/31,-99%
98,6/1,-98.98%
99,6/2,-99.27%
100,6/3,-98.89%
101,6/4,-98.34%
102,6/5,-98.48%
103,6/6,-97.58%
104,6/7,-98.77%
105,6/8,-98.71%
106,6/9,-98.96%
107,6/10,-99.06%
108,6/11,-98.8%
109,6/12,-98.74%
110,6/13,-98.18%
111,6/14,-99.27%
112,6/15,-99.28%
113,6/16,-99.27%
114,6/17,-99.24%
115,6/18,-98.98%
116,6/19,-98.74%
117,6/20,-97.93%
118,6/21,-98.56%
119,6/22,-99.25%
120,6/23,-99.36%
121,6/24,-98.95%
122,6/25,-99.12%
123,6/26,-98.91%
124,6/27,-98.33%
125,6/28,-99.25%
126,6/29,-99.57%
127,6/30,-99.34%
128,7/1,-99.25%
129,7/2,-99.33%
130,7/3,-98.26%
131,7/4,-88.28%
