,Year,Life expectancy in years
0,2020,76.59
1,2015,75.51
2,2010,74.17
3,2005,71.83
4,2000,69.52
5,1995,67.63
6,1990,65.87
7,1985,61.58
8,1980,54.94
9,1975,51.49
10,1970,49.47
11,1965,47.29
12,1960,45.0
13,1955,42.89
14,1950,41.5
15,1945,33.74
16,1940,35.94
17,1935,33.68
18,1930,32.1
19,1925,31.58
20,1920,28.72
21,1915,31.8
22,1910,30.32
23,1905,29.02
24,1900,29.98
25,1895,29.76
26,1890,29.56
27,1885,29.36
28,1880,29.16
29,1875,28.94
30,1870,19.56
31,1865,28.8
32,1860,28.8
33,1855,27.44
34,1850,24.28
35,1845,28.8
