,Team,Number of World Series won
0,New York Yankees,27
1,St. Louis Cardinals,11
2,Boston Red Sox,9
3,New York Giants,5
4,Philadelphia Athletics,5
5,Pittsburgh Pirates,5
6,Los Angeles Dodgers,5
7,Cincinnati Reds,5
8,Detroit Tigers,4
9,Oakland Athletics,4
10,Baltimore Orioles,3
11,Chicago White Sox,3
12,San Francisco Giants,3
13,Chicago Cubs,3
14,Cleveland Indians,2
15,Florida Marlins,2
16,Minnesota Twins,2
17,New York Mets,2
18,Philadelphia Phillies,2
19,Toronto Blue Jays,2
20,Kansas City Royals,2
21,Houston Astros,1
22,Anaheim Angels,1
23,Arizona Diamondbacks,1
24,Atlanta Braves,1
25,Boston Braves,1
26,Brooklyn Dodgers,1
27,Milwaukee Braves,1
28,Washington Senators,1
29,Washington Nationals,1
