,Quarter,Net income in million U.S. dollars
0,Q3 '20,7846
1,Q2 '20,5178
2,Q1 '20,4902
3,Q4 '19,7349
4,Q3 '19,6091
5,Q2 '19,2616
6,Q1 '19,2429
7,Q4 '18,6882
8,Q3 '18,5137
9,Q2 '18,5106
10,Q1 '18,4988
11,Q4 '17,4268
12,Q3 '17,4707
13,Q2 '17,3894
14,Q1 '17,3064
15,Q4 '16,3568
16,Q3 '16,2627
17,Q2 '16,2283
18,Q1 '16,1738
19,Q4 '15,1562
20,Q3 '15,896
21,Q2 '15,719
22,Q1 '15,512
23,Q4 '14,701
24,Q3 '14,806
25,Q2 '14,791
26,Q1 '14,642
27,Q4 '13,523
28,Q3 '13,425
29,Q2 '13,333
30,Q1 '13,219
31,Q4 '12,64
32,Q3 '12,-59
33,Q2 '12,-157
34,Q1 '12,205
35,Q4 '11,302
36,Q3 '11,227
37,Q2 '11,240
38,Q1 '11,233
39,Q4 '10,251
40,Q3 '10,131
41,Q2 '10,129
42,Q1 '10,95
