,Year,GDP per capita in U.S. dollars
0,2024*,14468.32
1,2023*,13629.33
2,2022*,12875.42
3,2021*,12172.16
4,2020*,11484.51
5,2019*,11136.81
6,2018,11072.39
7,2017,9960.32
8,2016,9523.3
9,2015,9663.11
10,2014,11165.26
11,2013,10699.66
12,2012,10655.46
13,2011,10252.59
14,2010,8920.48
15,2009,7439.44
16,2008,8646.57
17,2007,7378.59
18,2006,6264.42
19,2005,5599.05
20,2004,5171.42
21,2003,4673.91
22,2002,4379.64
23,2001,4130.38
24,2000,4286.83
25,1999,3710.07
26,1998,3470.47
27,1997,4941.36
28,1996,5103.04
29,1995,4612.5
30,1994,3971.09
31,1993,3664.87
32,1992,3331.39
33,1991,2844.9
34,1990,2549.61
35,1989,2347.18
36,1988,2182.86
37,1987,2041.02
38,1986,1837.93
39,1985,2124.29
40,1984,2385.62
