,industry,"Number of self-employed (in 1,000s)"
0,Construction,811
1,"Professional, scientific & technical activities",602
2,Human health & social work activities,342
3,"Wholesale, retail & repair of motor vehicles",334
4,Administrative & support services,319
5,Education,283
6,Transport & storage,264
7,Information & communication,236
8,Manufacturing,199
9,"Agriculture, forestry, fishing, mining, energy & water",191
10,Accommodation and food services,107
11,Financial & insurance activities,101
12,Real estate activities,63
13,Public admin & defence; social security,52
