,Month,Inflation rate
0,Jul '20,0.8%
1,Jun '20,1.1%
2,May '20,1.8%
3,Apr '20,1.3%
4,Mar '20,1.3%
5,Feb '20,1.2%
6,Jan '20,1.4%
7,Dec '19,1.7%
8,Nov '19,2.1%
9,Oct '19,1.3%
10,Sep '19,1.8%
11,Aug '19,1.8%
12,Jul '19,1.4%
13,Jun '19,1.6%
14,May '19,1%
15,Apr '19,0.7%
16,Mar '19,0.8%
17,Feb '19,1.1%
18,Jan '19,0.9%
19,Dec '18,0.7%
20,Nov '18,0.5%
21,Oct '18,0.9%
22,Sep '18,1.5%
23,Aug '18,2.5%
24,Jul '18,2.3%
25,Jun '18,2%
26,May '18,2.3%
27,Apr '18,2.7%
28,Mar '18,3%
29,Feb '18,3%
30,Jan '18,3.7%
31,Dec '17,3.9%
32,Nov '17,4.1%
33,Oct '17,4%
34,Sep '17,3%
35,Aug '17,2.1%
36,Jul '17,2.6%
37,Jun '17,2.3%
38,May '17,2.1%
39,Apr '17,1.5%
40,Mar '17,1.2%
41,Feb '17,0.2%
42,Jan '17,-0.5%
43,Dec '16,-1.1%
44,Nov '16,-2%
45,Oct '16,-2.4%
46,Sep '16,-2.3%
47,Aug '16,-2.2%
48,Jul '16,-2.6%
49,Jun '16,-2.9%
50,May '16,-2.8%
51,Apr '16,-2.5%
52,Mar '16,-2.7%
53,Feb '16,-2.3%
54,Jan '16,-2.6%
55,Dec '15,-2.9%
56,Nov '15,-2.4%
57,Oct '15,-2.7%
58,Sep '15,-2.3%
59,Aug '15,-2.4%
60,Jul '15,-2.7%
61,Jun '15,-2.2%
62,May '15,-1.8%
63,Apr '15,-2.8%
64,Mar '15,-3%
