,beauty product,Year-on-year growth of search phrase volume
0,carbonated clay mask,"5,030%"
1,carbonated bubble clay mask,"2,188%"
2,bubble clay mask,"1,899%"
3,blackhead mask,756%
4,dead sea mud mask,329%
5,charcoal mask,274%
6,sheet mask,184%
7,korean face mask,173%
8,charcoal face mask,151%
9,peel-off face mask,117%
10,black face mask,100%
11,turmeric mask,80%
12,indian clay mask,79%
13,aztec clay mask,72%
14,egg white mask,67%
15,best face masks,66%
16,best face mask,62%
17,DIY face mask,48%
18,mud mask,45%
19,bentonite clay mask,35%
20,face mask for acne,33%
21,clay mask,28%
22,face mask,26%
23,turmeric face mask,16%
24,baking soda face mask,15%
25,DIY hair mask,4%
26,face masks for acne,1%
27,avocado mask,-6%
28,avocado face mask,-14%
29,honey face mask,-15%
30,homemade face mask,-19%
31,oatmeal face mask,-20%
32,winter face mask,-36%
