,Year,Number of employees
0,2018,529800
1,2017,504800
2,2016,471100
3,2015,499500
4,2014,494600
5,2013,472600
6,2012,463900
7,2011,442300
8,2010,437700
9,2009,440300
10,2008,444500
11,2007,434400
12,2006,428200
13,2005,430400
14,2004,374900
15,2003,351400
16,2002,348000
17,2001,340500
18,2000,330600
19,1999,319200
20,1998,306200
21,1997,292100
22,1996,278000
23,1995,260100
24,1994,249400
25,1993,237900
26,1992,228300
27,1991,219000
28,1990,204200
29,1989,228100
30,1988,216500
31,1987,202100
32,1986,188100
33,1985,170700
34,1984,153900
35,1983,144800
36,1982,142100
37,1981,142700
38,1980,141900
39,1975,122100
40,1970,93900
41,1965,54200
42,1960,50200
