,Esports Tournament,Number of unique viewers in millions
0,Mid-Season Invitational (2018),60.0
1,Intel Extreme Masters Katowice (2017),46.0
2,Lol World Championship (2016),43.0
3,CFS World Championship (2017),37.0
4,Lol World Championship (2015),36.0
5,Intel Extreme Masters Katowice (2016),34.08
6,Lol World Championship (2013),32.0
7,DreamHack Masters Malmö (2017),31.0
8,Lol World Championship (2014),27.0
9,ESL One Cologne (2015),27.0
10,DreamHack Cluj (2015),25.09
11,ESL One Hamburg (2017),25.0
12,The International (2014),20.0
13,ESL One New York (2016),20.0
14,Intel Extreme Masters Oakland (2017),10.8
15,ESL One Katowice (2015),8.78
16,Gfinity Championship Series (2015),8.75
17,Intel Extreme Masters Sydney (2017),8.0
18,Intel Extreme Masters San Jose (2014),4.0
19,ESL One Cologne (2014),2.95
