,Year,Gross domestic product in billion international dollars
0,2021*,568.02
1,2020*,529.78
2,2019,564.77
3,2018,548.34
4,2017,523.64
5,2016,501.86
6,2015,485.01
7,2014,459.69
8,2013,439.27
9,2012,427.05
10,2011,421.68
11,2010,400.81
12,2009,373.11
13,2008,386.66
14,2007,380.21
15,2006,357.98
16,2005,332.18
17,2004,313.08
18,2003,292.23
19,2002,280.6
20,2001,270.29
21,2000,260.67
22,1999,243.12
23,1998,229.75
24,1997,217.91
25,1996,207.78
26,1995,200.8
27,1994,189.11
28,1993,178.08
29,1992,177.06
30,1991,174.67
31,1990,170.85
32,1989,163.55
33,1988,153.24
34,1987,144.47
35,1986,136.52
36,1985,129.95
37,1984,123.13
