,Year,Wage in current U.S. dollars
0,2018,14.99
1,2017,14.63
2,2016,14.0
3,2015,13.44
4,2014,13.14
5,2013,12.93
6,2012,12.8
7,2011,12.71
8,2010,12.5
9,2009,12.44
10,2008,12.23
11,2007,11.95
12,2006,11.76
13,2005,11.19
14,2004,11.0
15,2003,10.85
16,2002,10.47
17,2001,10.19
18,2000,9.91
19,1999,9.53
20,1998,9.1
21,1997,8.75
22,1996,8.4
23,1995,8.17
24,1994,8.01
25,1993,7.87
26,1992,7.72
27,1991,7.5
28,1990,7.23
29,1989,6.99
30,1988,6.73
31,1987,6.47
32,1986,6.2
33,1985,6.03
34,1984,5.83
35,1983,5.59
36,1982,5.4
37,1981,5.15
38,1980,4.82
39,1979,4.44
