,Response,Share of respondents
0,Multiple stakeholders,57%
1,"Ambiguity of project features, resources, phases, etc.",48%
2,Significant political/authority influences,35%
3,"Unknown project features, resources, phases, etc.",33%
4,Dynamic (changing) project governance,29%
5,Significant external influences,28%
6,Use of technology that is new to the organization,26%
7,Use of technology that has not yet been fully developed,25%
8,Significant internal interpersonal or social influences,23%
9,Highly regulated environment,18%
10,Project duration exceeds the cycle of relevant technologies,10%
