,Brand/Segment,Sales share
0,Neutrogena/ makeup remover implements,46.6%
1,CoverGirl Last Blast/ mascara,6%
2,Revlon Super Lustrous/ lipstick,11%
3,L'Oréal Voluminous/ mascara,5.8%
4,Maybelline Volum'Express Falsies/ mascara,5.5%
5,CoverGirl Clean/ powder,15.5%
6,Revlon ColorStay/ foundation,5.3%
7,Maybelline Great Lash/ mascara,5.2%
8,CoverGirl Outlast/ lipstick,9.6%
9,CoverGirl Clean/ foundation,5%
10,Revlon ColorStay/ eyeliner,8.2%
11,L'Oréal True Match/ foundation,4.8%
12,L'Oréal Colour Riche/ lipstick,9%
13,CoverGirl Perfect Point Plus/ eyeliner,7.5%
14,Maybelline Volum'Express Colossal/ mascara,4.4%
15,Maybelline Color Sensational/ lipstick,7.6%
16,L'Oréal True Match/ powder,11%
17,Maybelline Expert Wear/ eyeshadow,11.4%
18,Maybelline Volum'Express Rocket/ mascara,3.7%
19,CoverGirl Eye Enhancers/ eyeshadow,11.1%
