,Country,Increase in life expectancy at birth in years
0,Turkey,23.9
1,India,21.2
2,Korea,20.4
3,Chile,17.9
4,China,17.4
5,Brazil,16.5
6,Indonesia,14.8
7,Portugal,14.8
8,Mexico,14.5
9,Colombia,13.7
10,Costa Rica,13.7
11,Luxembourg,12.5
12,Slovenia,12.4
13,Japan,12.2
14,Australia,11.8
15,Austria,11.7
16,Spain,11.4
17,Ireland,11.0
18,Italy,11.0
19,Finland,10.9
20,Israel,10.8
21,OECD36,10.6
22,Belgium,10.5
23,Switzerland,10.5
24,Germany,10.5
25,France,10.4
26,New Zealand,10.4
27,Czech Republic,9.5
28,United Kingdom,9.4
29,Canada,9.1
30,Iceland,8.7
31,Norway,8.3
32,Estonia,8.2
33,Netherlands,8.1
34,Poland,7.9
35,Denmark,7.9
36,Sweden,7.7
37,United States,7.7
38,Greece,7.6
39,South Africa,7.4
40,Slovak Republic,7.3
41,Hungary,6.7
42,Lithuania,4.7
43,Russian Federation,4.3
44,Latvia,4.2
