,Year,Gross domestic product in billion international dollars
0,2021*,264.27
1,2020*,251.43
2,2019*,265.88
3,2018,258.79
4,2017,248.58
5,2016,236.65
6,2015,228.04
7,2014,224.47
8,2013,221.2
9,2012,219.36
10,2011,218.29
11,2010,208.51
12,2009,199.74
13,2008,215.64
14,2007,209.88
15,2006,194.11
16,2005,181.11
17,2004,170.89
18,2003,160.02
19,2002,154.02
20,2001,149.08
21,2000,142.17
22,1999,131.47
23,1998,124.16
24,1997,116.42
25,1996,107.63
26,1995,101.96
27,1994,95.82
28,1993,90.24
29,1992,88.74
30,1991,89.72
31,1990,92.21
32,1989,88.7
33,1988,81.22
34,1987,74.57
35,1986,70.27
36,1985,67.05
37,1984,62.78
