,UFC fighter,Total earnings in million U.S. dollars
0,Conor McGregor,15.08
1,Alistair Overeem,9.57
2,Khabib Nurmagomedov,8.68
3,Anderson Silva,8.11
4,Michael Bisping,7.14
5,Georges St-Pierre,7.04
6,Jon Jones,7.03
7,Mark Hunt,6.3
8,Donald Cerrone,6.16
9,Junior dos Santos,5.97
10,Daniel Cormier,5.73
11,Vitor Belfort,5.46
12,Andrei Arlovski,5.41
13,Brock Lesnar,5.08
14,Nate Diaz,4.89
15,Mauricio ‘Shogun’ Rua,4.76
16,Rashad Evans,4.74
17,Lyoto Machida,4.59
18,Frankie Edgar,4.57
19,Stipe Miocic,4.49
20,Dan Henderson,4.4
21,Chuck Liddell,4.38
22,Ronda Rousey,4.28
23,Jose Aldo,4.23
24,Tyron Woodley,4.17
25,Tito Ortiz,4.14
26,Chris Weidman,3.89
27,Fabricio Werdum,3.88
28,Robbie Lawler,3.82
29,Demian Maia,3.68
