,profession,Number of self-employed people
0,Doctors,116330
1,Dentists,50022
2,Psychotherapists (1),33937
3,Physiotherapists (2),45125
4,Vets,12019
5,Pharmacists,15067
6,Other freelance healing professionals (3),153048
7,Lawyers,124252
8,Patent lawyers,3948
9,Notaries only,1714
10,"Tax consultant, tax representative",60737
11,"Auditor, sworn auditor",8533
12,Business consultants (3),49600
13,"Other legal, business and tax advisory freelance professions (3) (4)",153592
14,Architects,56120
15,Advising engineer (5),16124
16,Other freelance engineers (3),78520
17,Appraisers (3),24726
18,Other technical and natural science freelance professions (3),114021
19,Freelance cultural occupations (6),335034
