,Year,Gross domestic product in billion U.S. dollars
0,2024*,1579.38
1,2023*,1508.49
2,2022*,1442.3
3,2021*,1380.72
4,2020*,1322.49
5,2019*,1274.18
6,2018,1222.05
7,2017,1156.95
8,2016,1077.91
9,2015,1170.57
10,2014,1314.57
11,2013,1274.44
12,2012,1201.09
13,2011,1180.49
14,2010,1057.8
15,2009,900.05
16,2008,1109.99
17,2007,1052.7
18,2006,975.38
19,2005,877.48
20,2004,782.24
21,2003,729.34
22,2002,772.11
23,2001,756.69
24,2000,707.91
25,1999,600.23
26,1998,526.52
27,1997,500.42
28,1996,410.97
29,1995,360.1
30,1994,527.81
31,1993,500.8
32,1992,403.73
33,1991,348.14
34,1990,290.4
35,1989,246.08
36,1988,201.93
37,1987,165.06
38,1986,150.51
39,1985,217.39
40,1984,204.86
