,Month,Daily percentage change in hospitalized persons
0,Nov 20,0.5%
1,Nov 19,-1.2%
2,Nov 17,2.6%
3,Nov 16,2.1%
4,Nov 13,1.8%
5,Nov 12,1.8%
6,Nov 9,3.7%
7,Nov 6,1.9%
8,Nov 5,2.5%
9,Nov 4,2.7%
10,Nov 3,5.4%
11,Oct 30,5.6%
12,Oct 29,5%
13,Oct 27,8.2%
14,Oct 23,6.9%
15,Oct 22,6.9%
16,Oct 21,5.3%
17,Oct 20,7%
18,Oct 15,7.5%
19,Oct 14,7.3%
20,Oct 13,7.7%
21,Oct 12,6.9%
22,Oct 9,6.5%
23,Oct 8,3.5%
24,Oct 7,7.6%
25,Oct 6,17.8%
26,Oct 5,16.9%
27,Oct 2,5.5%
28,Oct 1,3.2%
29,Sep 30,3.4%
30,Sep 29,4.08%
31,Sep 28,3.69%
32,Sep 27,4.17%
33,Sep 26,6.97%
34,Sep 25,1.58%
35,Sep 24,-0.36%
36,Sep 23,-1.1%
37,Sep 22,0.71%
38,Sep 21,-0.3%
39,Sep 20,0.4%
40,Sep 19,2.7%
41,Sep 18,0.42%
42,Sep 17,-4.48%
43,Sep 16,0.55%
44,Sep 15,1.22%
45,Sep 14,0.56%
46,Sep 13,0.77%
47,Sep 12,-0.56%
48,Sep 11,1.7%
49,Sep 10,-7.1%
50,Sep 9,1.4%
51,Sep 8,-3.4%
52,Sep 7,-3%
53,Sep 3,0.5%
54,Sep 2,1.4%
55,Sep 1,-4.9%
56,Aug 31,1.3%
57,Aug 28,1.6%
58,Aug 26,0.1%
59,Aug 25,-1.8%
60,Aug 24,8.2%
61,Aug 14,-0.9%
62,Aug 13,1.9%
63,Aug 12,1.8%
64,Aug 11,2.9%
65,Aug 10,1.6%
66,Aug 5,2.1%
67,Aug 4,1%
68,Aug 3,0.3%
69,Jul 31,5%
70,Jul 30,0.4%
71,Jul 29,1.9%
72,Jul 28,1.8%
73,Jul 27,1.5%
74,Jul 24,-0.6%
75,Jul 23,-1.1%
76,Jul 22,2.3%
77,Jul 21,2%
78,Jul 20,1%
79,Jul 17,3.5%
80,Jul 16,-1.6%
81,Jul 15,-0.4%
82,Jul 14,-3.6%
83,Jul 13,1.9%
84,Jul 12,-0.4%
85,Jul 11,1.3%
86,Jul 10,-5.3%
87,Jul 9,0.2%
88,Jul 8,1.5%
89,Jul 7,-7.4%
90,Jul 6,1.4%
91,Jul 5,2%
92,Jul 4,-0.7%
93,Jul 3,-2.5%
94,Jul 2,-7.1%
95,Jul 1,6.2%
96,Jun 30,0.8%
97,Jun 29,-2.6%
98,Jun 28,-1.3%
99,Jun 27,-3.3%
100,Jun 26,-2.1%
101,Jun 25,0.5%
102,Jun 24,1.5%
103,Jun 23,1.9%
104,Jun 22,1.2%
105,Jun 21,-2.8%
106,Jun 20,2.4%
107,Jun 19,2%
108,Jun 18,9.2%
109,Jun 17,-6.3%
110,Jun 16,4%
111,Jun 15,-0.7%
112,Jun 14,2.2%
113,Jun 13,5%
114,Jun 12,-4.2%
115,Jun 11,-14.7%
116,Jun 10,-2.3%
117,Jun 9,8.4%
118,Jun 8,-6.3%
119,Jun 7,-5.7%
120,Jun 6,2.1%
121,Jun 5,-0.8%
122,Jun 4,-2.3%
123,Jun 3,-3.1%
124,Jun 2,1.7%
125,Jun 1,2.2%
126,May 31,-3.3%
127,May 30,8.5%
128,May 29,-9.5%
129,May 28,-3.1%
130,May 27,6.9%
131,May 26,-4.3%
132,May 25,1.2%
133,May 24,-1.3%
134,May 23,0.4%
135,May 22,-3%
136,May 21,-3.5%
137,May 20,-3.1%
138,May 19,-2.1%
139,May 18,3.5%
140,May 17,2.2%
141,May 16,-6.7%
142,May 15,1.6%
143,May 14,-4.2%
144,May 13,3%
145,May 12,-1%
146,May 11,-2.3%
147,May 10,-4%
148,May 9,0.4%
149,May 8,1.7%
150,May 7,-1.8%
151,May 6,0.8%
152,May 5,3.2%
153,May 4,-3.9%
154,May 3,4.2%
155,May 2,-5%
156,May 1,-7.4%
157,Apr 30,1.3%
158,Apr 29,1.3%
159,Apr 28,6.3%
160,Apr 27,0.4%
161,Apr 26,-2.6%
162,Apr 25,-8.9%
163,Apr 24,-0.1%
164,Apr 23,-11.6%
165,Apr 22,20.3%
166,Apr 21,16%
167,Apr 20,1.2%
168,Apr 19,-8.9%
169,Apr 18,1.9%
170,Apr 17,2.5%
171,Apr 16,4.3%
172,Apr 15,1.1%
173,Apr 14,-1.6%
174,Apr 13,1.2%
175,Apr 12,2.3%
176,Apr 11,0.7%
177,Apr 10,-2.6%
178,Apr 09,2%
179,Apr 08,-2.1%
180,Apr 07,1.3%
181,Apr 06,0.4%
182,Apr 05,5.7%
183,Apr 04,6.7%
184,Apr 03,-6.9%
185,Apr 02,20.4%
186,Mar 31,1.3%
187,Mar 30,1.1%
188,Mar 29,9.3%
189,Mar 28,1.4%
190,Mar 27,5.6%
191,Mar 26,-0.6%
192,Mar 25,9.2%
193,Mar 24,30%
194,Mar 23,5%
195,Mar 22,3.53%
196,Mar 21,16.59%
197,Mar 20,3.1%
198,Mar 19,-5.6%
199,Mar 18,10.8%
200,Mar 17,13.5%
201,Mar 16,-4.4%
202,Mar 15,46%
203,Mar 14,1%
204,Mar 13,35.7%
205,Mar 12,21.1%
206,Mar 11,44.1%
207,Mar 10,-52.9%
208,Mar 09,178%
209,Mar 08,15.1%
210,Mar 07,14.1%
211,Mar 06,39.1%
212,Mar 05,41.5%
213,Mar 04,0%
