,industry,Number of businesses
0,Wholesale and retail trade,223955
1,Accommodation and food service activities,130595
2,Transportation,95412
3,"Membership organizations, repair and other personal services",69694
4,Manufacturing,58970
5,"Professional, scientific and technical activities",41654
6,Real estate activities and renting and leasing,41282
7,Education,35377
8,Human health and social work activities,28824
9,Information and communications,23384
10,"Arts, sports and recreation related services",23025
11,Construction,21825
12,Business facilities management and business support services,16198
13,Financial and insurance activities,11220
14,Public administration and defense,1282
15,"Sewerage, waste management, materials recovery and remediation activities",451
16,"Electricity, gas, steam and water supply",183
17,"Agriculture, forestry and fishing",30
18,Mining and quarrying,24
